sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AB0238-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0239-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0240-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0241-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0242-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0243-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0244-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0246-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0247-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0248-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0249-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0250-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0251-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0252-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0253-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0255-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0256-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0257-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0258-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0260-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0261-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0262-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0263-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0264-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0265-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0266-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0267-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0268-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0270-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0271-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0272-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0273-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0274-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0275-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0276-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0277-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0278-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
